"textEn","textHi","optA_En","optB_En","optC_En","optD_En","optA_Hi","optB_Hi","optC_Hi","optD_Hi","correctIndex","solutionEn","solutionHi","subject","marksPerQuestion","negativeMarks"
"Fill in the blank with the correct preposition: She sat here _____ 8 O'clock.","सही preposition से रिक्त स्थान भरें: She sat here _____ 8 O'clock.","in","beside","till","besides","in","beside","till","besides","2","'Till' is used to indicate up to a specific time.","'Till' किसी विशेष समय तक के लिए प्रयुक्त होता है।","English","1","0.33"
"Fill in the blank with the correct preposition: She was blamed _____ the failure.","सही preposition: She was blamed _____ the failure.","of","on","up","for","of","on","up","for","3","'Blamed for' is the correct collocation.","'Blamed for' सही collocation है।","English","1","0.33"
"Choose the correct preposition: He lost control of the car and crashed _____ a wall.","सही preposition चुनें: He lost control of the car and crashed _____ a wall.","in","at","into","on","in","at","into","on","2","'Crashed into' means to hit something forcefully.","'Crashed into' का अर्थ है किसी चीज़ से जोर से टकराना।","English","1","0.33"
"Choose the suitable preposition: The children ran _____ the room.","उचित preposition: The children ran _____ the room.","into","onto","besides","at","into","onto","besides","at","0","'Ran into' means entered by running.","'Ran into' का अर्थ है दौड़ते हुए अंदर गए।","English","1","0.33"
"Mark the correct English translation of the Hindi sentence: जब मैं वहाँ गया वह सो रही थी।","हिंदी वाक्य का सही अंग्रेजी अनुवाद: जब मैं वहाँ गया वह सो रही थी।","When I went there, she kept on sleeping.","She slept while I went to her.","When I went there, she was sleeping.","She slept all the while, when I went there.","When I went there, she kept on sleeping.","She slept while I went to her.","When I went there, she was sleeping.","She slept all the while, when I went there.","2","Past continuous tense is used for ongoing action at a past time.","भूतकाल में चल रही क्रिया के लिए past continuous tense प्रयोग होता है।","English","1","0.33"
"Select the most apt translation of the sentence: उसको यह कहने का अधिकार नहीं है।","वाक्य का सटीक अनुवाद: उसको यह कहने का अधिकार नहीं है।","He should not say this.","He has no right to say this.","He did not have any right to say this.","He had no right to say this.","He should not say this.","He has no right to say this.","He did not have any right to say this.","He had no right to say this.","1","Present tense: 'has no right' correctly translates 'अधिकार नहीं है'.","वर्तमान काल: 'has no right' सही अनुवाद है।","English","1","0.33"
"Choose the correct Hindi translation of: She saw me in the library.","सही हिंदी अनुवाद: She saw me in the library.","वह मुझे पुस्तकालय में दिखी।","मैं उसे पुस्तकालय में दिखी।","उसने मुझे पुस्तकालय में देखा था।","मेरे को पुस्तकालय में उसने देखा।","वह मुझे पुस्तकालय में दिखी।","मैं उसे पुस्तकालय में दिखी।","उसने मुझे पुस्तकालय में देखा था।","मेरे को पुस्तकालय में उसने देखा।","2","'She saw me' = 'उसने मुझे देखा था' is the correct translation in past tense.","'She saw me' = 'उसने मुझे देखा था' सही अनुवाद है।","English","1","0.33"
"Choose the most appropriate translation into English: अभिव्यक्ति की स्वतंत्रता हमारा मूल अधिकार है।","अंग्रेजी में सही अनुवाद: अभिव्यक्ति की स्वतंत्रता हमारा मूल अधिकार है।","Freedom of speech is our original right.","Independence of expression is our fundamental right.","Freedom of expression is our fundamental right.","Our fundamental right is freedom of speech.","Freedom of speech is our original right.","Independence of expression is our fundamental right.","Freedom of expression is our fundamental right.","Our fundamental right is freedom of speech.","2","'अभिव्यक्ति की स्वतंत्रता' = Freedom of expression; 'मूल अधिकार' = fundamental right.","अभिव्यक्ति की स्वतंत्रता = Freedom of expression; मूल अधिकार = fundamental right.","English","1","0.33"
"Choose the correct option and fill in blank: John as well as Tom _____ waiting for you.","सही विकल्प: John as well as Tom _____ waiting for you.","is","were","have been","are","is","were","have been","are","0","When 'as well as' is used, verb agrees with the first subject 'John' (singular) → 'is'.","'as well as' के साथ verb पहले subject के अनुसार होती है, John singular है → 'is'।","English","1","0.33"
"Choose the correct tense of the verb: Sita told them that they _____ wrong.","सही tense: Sita told them that they _____ wrong.","are","will be","were","can","are","will be","were","can","2","In reported speech, present tense changes to past tense. 'are' becomes 'were'.","Reported speech में present tense, past tense में बदलता है।","English","1","0.33"
"Choose the correct tense of the verb: This journal _____ twice a month.","सही tense: This journal _____ twice a month.","is appearing","appeared","had appeared","appears","is appearing","appeared","had appeared","appears","3","Habitual/regular action uses simple present tense → 'appears'.","नियमित क्रिया के लिए simple present tense → 'appears'।","English","1","0.33"
"Fill in the blank with the correct form of verb: Raman saw that the clock _____.","सही verb form: Raman saw that the clock _____.","stop","will stop","have been stopped","had stopped","stop","will stop","have been stopped","had stopped","3","Past perfect is used for action completed before another past action.","Past perfect का प्रयोग किसी भूत क्रिया से पहले पूर्ण क्रिया के लिए होता है।","English","1","0.33"
"Choose the correct tense form of the verb given in bracket: It is time you _____ (stop) playing.","कोष्ठक में दिए verb का सही tense: It is time you _____ (stop) playing.","stops","have stopped","stopping","stopped","stops","have stopped","stopping","stopped","3","'It is time + subject + past tense verb' is the correct structure.","'It is time + subject + past tense verb' सही संरचना है।","English","1","0.33"
"Identify the correct form of sentence in Active Voice:","Active Voice में सही वाक्य पहचानें:","I forgave him his fault.","The king has punishing the thief.","I kept your book lest you may not lose it.","It can be seen that the sun rose in the east.","I forgave him his fault.","The king has punishing the thief.","I kept your book lest you may not lose it.","It can be seen that the sun rose in the east.","0","'I forgave him his fault' is grammatically correct active voice sentence.","'I forgave him his fault' व्याकरणिक रूप से सही active voice वाक्य है।","English","1","0.33"
"Choose the correct form of Passive Transformation: Who gave you the permission to write?","Passive Transformation का सही रूप: Who gave you the permission to write?","By whom were you given the permission to write?","By whom given you the permission to write?","By whom you were been given the permission?","By whom was you given permission to write?","By whom were you given the permission to write?","By whom given you the permission to write?","By whom you were been given the permission?","By whom was you given permission to write?","0","Passive: By whom + were + you + given + the permission to write?","Passive: By whom + were + you + given + the permission to write?","English","1","0.33"
"Which sentence correctly changes the active voice into the passive? Some one has cut the telephone wires.","Active voice को passive में बदला हुआ सही वाक्य: Some one has cut the telephone wires.","The telephone wires were cut.","The telephone wires has been cut.","The telephone wires have been cut.","The telephone wires were found cut.","The telephone wires were cut.","The telephone wires has been cut.","The telephone wires have been cut.","The telephone wires were found cut.","2","Present perfect passive: have/has + been + V3 → 'have been cut'.","Present perfect passive: have/has + been + V3 → 'have been cut'।","English","1","0.33"
"Choose the correct Active voice of: Can a car be driven by her?","Passive का Active voice: Can a car be driven by her?","A car can be driven by her.","A car could be driven by her.","Can she drive a car?","Could she drive a car?","A car can be driven by her.","A car could be driven by her.","Can she drive a car?","Could she drive a car?","2","Active: Can + subject + verb → Can she drive a car?","Active: Can + subject + verb → Can she drive a car?","English","1","0.33"
"Choose the correct indirect speech: He said, 'They are in the class.'","Indirect speech: He said, 'They are in the class.'","He said that they were in the class.","He says that they are in the class.","He said that they had been in class.","He says that they are in the class.","He said that they were in the class.","He says that they are in the class.","He said that they had been in class.","He says that they are in the class.","0","In reported speech, 'said' + present 'are' changes to past 'were'.","Reported speech में 'said' के साथ present 'are' → past 'were'।","English","1","0.33"
"If you take away the prefix and the suffix, what word is left of the word 'unemployed'?","'unemployed' शब्द से prefix और suffix हटाने पर कौन सा शब्द बचता है?","unemploy","employed","employ","will not change","unemploy","employed","employ","will not change","2","un + employ + ed → removing 'un' (prefix) and 'ed' (suffix) leaves 'employ'.","un + employ + ed → 'un' (prefix) और 'ed' (suffix) हटाने पर 'employ' बचता है।","English","1","0.33"
"What prefix would you add to the root word 'view' to indicate that you see something before other people do?","'view' शब्द में कौन सा prefix जोड़ेंगे जो दर्शाए कि आप दूसरों से पहले देखते हैं?","re","pre","un","dis","re","pre","un","dis","1","'Preview' means to see something before others.","'Preview' का अर्थ है दूसरों से पहले देखना।","English","1","0.33"
"Use the correct word: Before the bell rang, the class was _____ to go home.","सही शब्द: Before the bell rang, the class was _____ to go home.","ready","all-ready","was already","were all ready","ready","all-ready","was already","were all ready","0","'Ready' is the correct adjective here.","'Ready' यहाँ सही विशेषण है।","English","1","0.33"
"Use the correct word: Not everybody shares my _____.","सही शब्द: Not everybody shares my _____.","principals","principalities","principles","personalities","principals","principalities","principles","personalities","2","'Principles' means beliefs or rules. 'Principals' means heads of institutions.","'Principles' का अर्थ है सिद्धांत। 'Principals' का अर्थ है प्रधानाचार्य।","English","1","0.33"
"Fill in the blank with an appropriate word: They are _____ in the hall for the class.","उचित शब्द भरें: They are _____ in the hall for the class.","altogether","at together","all together","all to gather","altogether","at together","all together","all to gather","2","'All together' means everyone in one place at the same time.","'All together' का अर्थ है सभी एक साथ एक जगह।","English","1","0.33"
"Fill in the blank with an appropriate word: I don't like his _____ policy of pleasing people.","उचित शब्द: I don't like his _____ policy of pleasing people.","dual","duel","dwell","doll","dual","duel","dwell","doll","0","'Dual' means double or two-sided. 'Duel' means a contest between two parties.","'Dual' का अर्थ है दोहरा। 'Duel' का अर्थ है द्वंद्व।","English","1","0.33"
"Read the passage and answer: How long did the author work in a Delhi College?","गद्यांश पढ़कर उत्तर दें: लेखक ने दिल्ली के कॉलेज में कितने समय काम किया?","for one year","for a long time","for a short time","for eight years","for one year","for a long time","for a short time","for eight years","2","The passage states the author worked 'for a brief while' in the college.","गद्यांश में लेखक ने 'थोड़े समय' के लिए काम किया।","English","1","0.33"
"What exercise did the author give the students? He gave them _____.","लेखक ने छात्रों को क्या exercise दी?","a language exercise - to write an application for a suitable job.","an exercise for testing skills in English.","an exercise to test clerical aptitude.","an exercise for the imagination.","a language exercise - to write an application for a suitable job.","an exercise for testing skills in English.","an exercise to test clerical aptitude.","an exercise for the imagination.","0","The passage mentions a language exercise of writing a job application.","गद्यांश में नौकरी के लिए आवेदन लिखने की language exercise का उल्लेख है।","English","1","0.33"
"The author wanted the students to imagine that they were already:","लेखक चाहते थे कि छात्र कल्पना करें कि वे पहले से _____ हैं:","bureaucrats","graduates","undergraduates","clerks","bureaucrats","graduates","undergraduates","clerks","1","The passage says 'imagine that they had already graduated'.","गद्यांश में 'imagine that they had already graduated' उल्लेख है।","English","1","0.33"
"The number of students who wrote applications for the jobs of clerks was:","क्लर्क की नौकरी के लिए आवेदन लिखने वाले छात्रों की संख्या थी:","one","eight","five","seven","one","eight","five","seven","3","The passage states 'Seven of the eight students wrote applications for the jobs of clerks.'","गद्यांश: 'आठ में से सात छात्रों ने क्लर्क की नौकरी के लिए आवेदन लिखे।'","English","1","0.33"
"According to the author, the system had:","लेखक के अनुसार, system ने:","killed the students' ambitions.","motivated the students' ambitions.","taught them to write applications.","inspired them to become scholars.","killed the students' ambitions.","motivated the students' ambitions.","taught them to write applications.","inspired them to become scholars.","0","'The system has snuffed out all youthful ambition' means killed ambitions.","'snuffed out all youthful ambition' का अर्थ है सारी महत्वाकांक्षाओं को खत्म करना।","English","1","0.33"
"'Snuffed out' in the passage means:","गद्यांश में 'Snuffed out' का अर्थ है:","encouraged","killed","incited","persuaded","encouraged","killed","incited","persuaded","1","'Snuffed out' means extinguished or killed.","'Snuffed out' का अर्थ है नष्ट करना या मारना।","English","1","0.33"
"_____ format is followed in writing business letters.","व्यावसायिक पत्रों में _____ format का पालन किया जाता है।","Semi block","Modified","Semi modified","Block","Semi block","Modified","Semi modified","Block","3","Block format is the most commonly used format in business letters.","Block format व्यावसायिक पत्रों में सबसे अधिक प्रयुक्त format है।","English","1","0.33"
"In a formal letter what is the name given to the address and date at the top?","औपचारिक पत्र में ऊपर दिए गए पते और तारीख को क्या कहते हैं?","Starting","Closing","Body","Heading","Starting","Closing","Body","Heading","3","The address and date at the top of a formal letter is called the 'Heading'.","औपचारिक पत्र के शीर्ष पर पता और तारीख को 'Heading' कहते हैं।","English","1","0.33"
"In an official letter, you address the person you are writing to:","आधिकारिक पत्र में आप जिसे लिख रहे हैं उसे संबोधित करते हैं:","as Sir / Madam","by his / her first name","as Sir and Madam","informally","as Sir / Madam","by his / her first name","as Sir and Madam","informally","0","In official letters, the salutation used is 'Sir/Madam'.","आधिकारिक पत्रों में 'Sir/Madam' का प्रयोग होता है।","English","1","0.33"
"The main point is written in which part of an official or formal letter?","आधिकारिक पत्र के किस भाग में मुख्य बात लिखी जाती है?","Post-script","Opening","Body","Closing","Post-script","Opening","Body","Closing","2","The body of the letter contains the main message.","पत्र के body में मुख्य संदेश होता है।","English","1","0.33"
"Choose the correct option changing the following sentence into assertive: How childish your talks are!","Exclamatory को assertive में बदलें: How childish your talks are!","Your talks are childish.","Your talks should be childish.","Your talks are not childish.","Your talks are very childish.","Your talks are childish.","Your talks should be childish.","Your talks are not childish.","Your talks are very childish.","0","Exclamatory 'How childish' → Assertive 'Your talks are childish'.","Exclamatory 'How childish' → Assertive 'Your talks are childish'।","English","1","0.33"
"Choose the correct transformation from assertive to interrogative: We should not waste time in this fruitless occupation.","Assertive से interrogative में बदलें: We should not waste time in this fruitless occupation.","What should we do of this fruitless occupation?","Why will we waste time in this fruitless occupation?","Why should we waste time in this fruitless occupation?","Why would we waste time in this fruitless occupation?","What should we do of this fruitless occupation?","Why will we waste time in this fruitless occupation?","Why should we waste time in this fruitless occupation?","Why would we waste time in this fruitless occupation?","2","Negative assertive with 'should not' → interrogative with 'Why should'.","Negative assertive with 'should not' → interrogative 'Why should'।","English","1","0.33"
"Choose the correct transformation from assertive to interrogative: Man cannot die better than facing fearful odds.","Assertive से interrogative: Man cannot die better than facing fearful odds.","How can man die better than facing fearful odds?","How will man die better than facing fearful odds?","Should man die than facing odds?","Will man die better than facing odds?","How can man die better than facing fearful odds?","How will man die better than facing fearful odds?","Should man die than facing odds?","Will man die better than facing odds?","0","'Cannot' in assertive → 'How can' in interrogative.","Assertive में 'cannot' → interrogative में 'How can'।","English","1","0.33"
"Choose the correct option changing the following sentence into assertive: What a delicious food!","Exclamatory को assertive में बदलें: What a delicious food!","It was a very delicious food.","It was delicious food.","Was it a very delicious food?","It was not a very delicious food.","It was a very delicious food.","It was delicious food.","Was it a very delicious food?","It was not a very delicious food.","0","'What a delicious food!' → 'It was a very delicious food.'","'What a delicious food!' → 'It was a very delicious food.'","English","1","0.33"
"Choose the correct exclamatory form: He is a great doctor.","Assertive का exclamatory रूप: He is a great doctor.","What a great doctor is he!","A great doctor is he!","What a great doctor he is!","Isn't he a great doctor!","What a great doctor is he!","A great doctor is he!","What a great doctor he is!","Isn't he a great doctor!","2","Exclamatory: What a/an + adjective + noun + subject + verb!","Exclamatory: What a/an + adjective + noun + subject + verb!","English","1","0.33"
"Choose the correct transformation from exclamatory to assertive: What a wonderful creature an elephant is!","Exclamatory से assertive: What a wonderful creature an elephant is!","Elephant is the creature of wonder.","Of all creatures elephant is wonderful.","The elephant is wonderful.","An elephant is a very wonderful creature.","Elephant is the creature of wonder.","Of all creatures elephant is wonderful.","The elephant is wonderful.","An elephant is a very wonderful creature.","3","Assertive form uses article and completes the sentence properly.","Assertive रूप में article का प्रयोग होता है।","English","1","0.33"
"Choose the correct option from Assertive to Exclamatory: I wish I had wings of a dove.","Assertive से Exclamatory: I wish I had wings of a dove.","O that I had wings of a dove!","I am desirous of having wings of a dove!","What if I had wings of a dove!","How can one have wings of a dove!","O that I had wings of a dove!","I am desirous of having wings of a dove!","What if I had wings of a dove!","How can one have wings of a dove!","0","Wish sentences are converted to exclamatory using 'O that'/'Would that'.","Wish sentences को 'O that'/'Would that' से exclamatory में बदलते हैं।","English","1","0.33"
"Choose the appropriate article: Copper is _____ useful metal.","सही article: Copper is _____ useful metal.","an","a","the","zero article","an","a","the","zero article","1","'Useful' begins with a consonant sound /j/, so 'a' is used.","'Useful' की ध्वनि /j/ consonant है, इसलिए 'a' का प्रयोग होता है।","English","1","0.33"
"We could barely get any information at the airport. _____ people seemed to have _____ idea about the flights.","रिक्त स्थान भरें: _____ people seemed to have _____ idea about the flights.","Many / any","a lot of / any","Only a few / some","Any / no","Many / any","a lot of / any","Only a few / some","Any / no","3","'Any / no' fits the negative context of barely getting information.","'Any / no' नकारात्मक संदर्भ में सही बैठता है।","English","1","0.33"
"_____ teachers prefer a class that is fairly consistent in having pupils of the same level.","रिक्त स्थान: _____ teachers prefer a class fairly consistent in having pupils of the same level.","Most","Neither","Whole","Every","Most","Neither","Whole","Every","0","'Most' is used for a majority. 'Every' takes singular verb.","'Most' बहुमत के लिए प्रयुक्त होता है।","English","1","0.33"
"Which of the following is the synonym of HASTE?","HASTE का पर्यायवाची:","Lethargic","Brisk","Slow","Delay","Lethargic","Brisk","Slow","Delay","1","Haste means speed/hurry. Synonym: Brisk (quick and energetic).","Haste का अर्थ है जल्दी। पर्यायवाची: Brisk।","English","1","0.33"
"Which of the following is the synonym of Indict?","Indict का पर्यायवाची:","Acquit","Accuse","Speculate","Frustrate","Acquit","Accuse","Speculate","Frustrate","1","Indict means to formally accuse. Synonym: Accuse.","Indict का अर्थ है औपचारिक रूप से आरोप लगाना। पर्यायवाची: Accuse।","English","1","0.33"
"Which of the following is the antonym of Relinquish?","Relinquish का विलोम:","Abdicate","Renounce","Possess","Deny","Abdicate","Renounce","Possess","Deny","2","Relinquish means to give up. Antonym: Possess (to keep/have).","Relinquish का अर्थ है छोड़ना। विलोम: Possess।","English","1","0.33"
"Choose the correct antonym of the word: Calm","Calm का सही विलोम:","excite","pacify","please","pleasant","excite","pacify","please","pleasant","0","Calm means peaceful. Antonym: Excite (to stir up).","Calm का अर्थ है शांत। विलोम: Excite।","English","1","0.33"
"Choose the correct antonym of the word: Exodus","Exodus का सही विलोम:","Outflow","Home-coming","Return back","Restoration","Outflow","Home-coming","Return back","Restoration","1","Exodus means mass departure. Antonym: Home-coming (return).","Exodus का अर्थ है बड़े पैमाने पर प्रस्थान। विलोम: Home-coming।","English","1","0.33"
"Choose the correct antonym of the word: Shallow","Shallow का सही विलोम:","deep","long","short","brief","deep","long","short","brief","0","Shallow means not deep. Antonym: Deep.","Shallow का अर्थ है उथला। विलोम: Deep।","English","1","0.33"
"Which one of the following is the correct meaning of: That which cannot be heard.","'That which cannot be heard' के लिए सही शब्द:","Indelible","Invincible","Inaccessible","Inaudible","Indelible","Invincible","Inaccessible","Inaudible","3","Inaudible means unable to be heard.","Inaudible का अर्थ है जो सुना न जा सके।","English","1","0.33"
"Which one of the following is the correct meaning of: Killing of self","'Killing of self' के लिए सही शब्द:","murder","killer","self-killer","suicide","murder","killer","self-killer","suicide","3","Suicide means the act of killing oneself.","Suicide का अर्थ है स्वयं को मारना।","English","1","0.33"
"Which one of the following is the correct meaning of: The study of human behaviour and societies.","'The study of human behaviour and societies' के लिए सही शब्द:","archaeology","anthropology","history","public administration","archaeology","anthropology","history","public administration","1","Anthropology is the study of human societies and cultures.","Anthropology मानव समाज और संस्कृतियों का अध्ययन है।","English","1","0.33"
"Replace the underlined part with one word: John is a person who collects stamps.","रेखांकित भाग को एक शब्द से बदलें: John is a person who collects stamps.","Numismat","Philatelist","Bibliophile","Archaeologist","Numismat","Philatelist","Bibliophile","Archaeologist","1","A philatelist is a person who collects stamps.","Philatelist डाक टिकट संग्रह करने वाले व्यक्ति को कहते हैं।","English","1","0.33"
"Choose the correct option of prefix to make new word: Continued","नया शब्द बनाने के लिए सही prefix: Continued","mis","dis","un","in","mis","dis","un","in","2","Discontinued = to stop continuing. Prefix 'dis' is correct.","Discontinued = रुकना। Prefix 'dis' सही है।","English","1","0.33"
"Choose the correct form of Indirect Narration: The lady said to the man, 'Please lend me your pen.'","Indirect Narration: The lady said to the man, 'Please lend me your pen.'","The lady said that please lend me your pen.","The lady told the man to lend her his pen.","The lady requested the man to lend her his pen.","The lady asked the man politely if he could lend her his pen.","The lady said that please lend me your pen.","The lady told the man to lend her his pen.","The lady requested the man to lend her his pen.","The lady asked the man politely if he could lend her his pen.","2","For imperative sentences with 'please', indirect speech uses 'requested + to'.","'Please' वाले वाक्यों की indirect speech में 'requested + to' का प्रयोग होता है।","English","1","0.33"
"Choose the correct indirect speech: Hari said, 'The doctor is coming.'","Indirect speech: Hari said, 'The doctor is coming.'","Hari said that the doctor was coming.","Hari said that the doctor is coming.","Hari said that the doctor has been coming.","Hari says that the doctor was coming.","Hari said that the doctor was coming.","Hari said that the doctor is coming.","Hari said that the doctor has been coming.","Hari says that the doctor was coming.","0","In reported speech, 'said' + present continuous 'is coming' → past continuous 'was coming'.","Reported speech में 'said' + 'is coming' → 'was coming'।","English","1","0.33"
"Choose the correct indirect speech: He said, 'When did she arrive?'","Indirect speech: He said, 'When did she arrive?'","He asked when she had arrived.","He asked when had she arrived.","He asks when she had arrived.","He asked when she had arrived?","He asked when she had arrived.","He asked when had she arrived.","He asks when she had arrived.","He asked when she had arrived?","0","Interrogative indirect speech: asked + when + subject + had + V3.","Interrogative indirect speech: asked + when + subject + had + V3।","English","1","0.33"
"Choose the correct sentence from the following options:","निम्न में से सही वाक्य चुनें:","He said that the fires were to be lit.","Shyam told me that I am ready.","He told me, 'The gardener had not watering the plants.'","Sunil asked me if I am appearing for this exam.","He said that the fires were to be lit.","Shyam told me that I am ready.","He told me, 'The gardener had not watering the plants.'","Sunil asked me if I am appearing for this exam.","0","Option A follows correct reported speech rules.","विकल्प A सही reported speech नियमों का पालन करता है।","English","1","0.33"
"Choose the correct negative form: He loves apples.","Negative form: He loves apples.","Neither he loves apples.","He doesn't love apples.","He may not love apples.","He not loves apples.","Neither he loves apples.","He doesn't love apples.","He may not love apples.","He not loves apples.","1","Negative of simple present: Subject + does not/doesn't + base verb.","Simple present की negative: Subject + doesn't + base verb।","English","1","0.33"
"Change from assertive to negative: Everyone makes mistakes.","Assertive से negative: Everyone makes mistakes.","Anyone can make mistakes.","There is none who is mistake free.","No one is with mistakes.","There is no one who does not make mistakes.","Anyone can make mistakes.","There is none who is mistake free.","No one is with mistakes.","There is no one who does not make mistakes.","3","Double negative: 'no one who does not' = everyone does.","Double negative: 'no one who does not' = सभी करते हैं।","English","1","0.33"
"Choose the correct assertive form: Books are not available.","Assertive form: Books are not available.","Books are available.","Books are always available.","Books were available.","Books must be available.","Books are available.","Books are always available.","Books were available.","Books must be available.","0","Negative assertive 'are not' → simple assertive 'are available'.","Negative 'are not' → simple assertive 'are available'।","English","1","0.33"
"Change from assertive to negative: The two brothers are like each other.","Assertive से negative: The two brothers are like each other.","The two brothers are not very unlike each other.","The two brothers resemble each other.","The two brothers do not look like each other.","The two brothers are not unlikely like each other.","The two brothers are not very unlike each other.","The two brothers resemble each other.","The two brothers do not look like each other.","The two brothers are not unlikely like each other.","0","Double negative: 'not unlike' = like. This preserves the original meaning.","Double negative: 'not unlike' = like। यह मूल अर्थ को बनाए रखता है।","English","1","0.33"
"Choose the correct interrogative of the sentence: He is angry with her.","वाक्य का सही interrogative: He is angry with her.","Is he angry with her?","Isn't he angry with her?","Wasn't he angry with her?","Who isn't angry with her?","Is he angry with her?","Isn't he angry with her?","Wasn't he angry with her?","Who isn't angry with her?","0","Positive assertive → positive interrogative using 'Is he'.","Positive assertive → positive interrogative 'Is he'।","English","1","0.33"
"Choose the correct conversion from interrogative to assertive: Was he not a hero to do such a deed?","Interrogative से assertive: Was he not a hero to do such a deed?","He was not a hero to do such a deed.","He was such a hero to do a deed.","Only a hero could do such a deed.","He was an absolute hero to do such a deed.","He was not a hero to do such a deed.","He was such a hero to do a deed.","Only a hero could do such a deed.","He was an absolute hero to do such a deed.","1","Negative interrogative → positive assertive.","Negative interrogative → positive assertive।","English","1","0.33"
