"textEn","textHi","optA_En","optB_En","optC_En","optD_En","optA_Hi","optB_Hi","optC_Hi","optD_Hi","correctIndex","solutionEn","solutionHi","subject","marksPerQuestion","negativeMarks"
"If a=1 and b=1 is a solution of the equation 5a+p=17b, then the value of p is -","यदि a=1 और b=1, समीकरण 5a+p=17b का एक हल है, तब p का मान है -","5","7","11","12","5","7","11","12","3","Put a=1, b=1: 5(1) + p = 17(1) => 5 + p = 17 => p = 12. [cite: 219, 220, 221, 222]","a=1, b=1 रखने पर: 5(1) + p = 17(1) => 5 + p = 17 => p = 12.","Maths","1","0.33"
"Solution of the equation (4+a)(5-a)/(2+a)(7-a) = 1 is -","समीकरण (4+a)(5-a)/(2+a)(7-a) = 1 का हल है -","a=2/3","a=-2/3","a=3/2","a=-3/2","a=2/3","a=-2/3","a=3/2","a=-3/2","2","Cross multiply: (4+a)(5-a) = (2+a)(7-a) => 20+a-a² = 14+5a-a² => 4a = 6 => a = 3/2. [cite: 227, 228, 229, 231]","क्रॉस गुणा करें: (4+a)(5-a) = (2+a)(7-a) => 20+a-a² = 14+5a-a² => 4a = 6 => a = 3/2.","Maths","1","0.33"
"Base of a hemisphere, a cylinder and a cone is equal and also the heights are same. The ratio of their volumes is -","एक अर्द्ध गोला, एक बेलन तथा एक शंकु के आधार बराबर तथा ऊँचाई भी बराबर हैं। इनके आयतनों का अनुपात है -","1:2:3","3:2:1","2:3:1","2:1:3","1:2:3","3:2:1","2:3:1","2:1:3","2","Radius=r, Height=r. Ratio = (2/3)πr³ : πr³ : (1/3)πr³ = 2/3 : 1 : 1/3 = 2:3:1. [cite: 238, 239, 240, 241]","त्रिज्या=r, ऊंचाई=r. अनुपात = (2/3)πr³ : πr³ : (1/3)πr³ = 2/3 : 1 : 1/3 = 2:3:1.","Maths","1","0.33"
"A metallic sphere of radius 2.1 cm is melted and reset into sphere ball of half radius of origin sphere. How many such spherical balls can be made?","एक धातु का गोला 2.1 सेमी त्रिज्या का है जिसे पिघलाकर उससे आधी त्रिज्या की गोलाकार गेंद बनाते हैं। ऐसी कितनी गोलाकार गेंदे बना सकते हैं?","2","4","6","8","2","4","6","8","3","Volume ratio = (R / (R/2))³ = 2³ = 8. [cite: 242, 243, 244, 246]","आयतन अनुपात = (R / (R/2))³ = 2³ = 8.","Maths","1","0.33"
"The square root of 3025 is -","3025 का वर्गमूल है -","35","45","55","65","35","45","55","65","2","√3025 = 55. (Since 50²=2500 and 60²=3600). [cite: 249, 250]","√3025 = 55. (चूंकि 50²=2500 और 60²=3600).","Maths","1","0.33"
"Water in a canal, 6m wide and 1.5m deep, is flowing with a speed of 10 km/h. If 8 cm of standing water is needed, then how much area will it irrigate in 30 minutes?","एक 6 मी चौड़ी और 1.5 मी गहरी नहर में पानी 10 km/h की गति से बह रहा है। यदि 8 सेमी भरा हुआ पानी चाहिए तो ये 30 मिनट में कितने क्षेत्रफल की सिंचाई करेगी ?","56.25 hectares","91.47 hectares","80.76 hectares","76.56 hectares","56.25 हेक्टेयर","91.47 हेक्टेयर","80.76 हेक्टेयर","76.56 हेक्टेयर","0","Vol in 30m = 6 * 1.5 * 5000 = 45000m³. Area = 45000 / 0.08 = 562500 m² = 56.25 ha. [cite: 256, 258, 259, 260]","30 मिनट में आयतन = 6 * 1.5 * 5000 = 45000m³. क्षेत्रफल = 45000 / 0.08 = 562500 m² = 56.25 हेक्टेयर.","Maths","1","0.33"
"(4x^2 + 4x - 3) = ?","(4x^2 + 4x - 3) = ?","(2x-1)(2x-3)","(2x+3)(2x-1)","(2x+1)(2x-3)","(2x+1)(2x+3)","(2x-1)(2x-3)","(2x+3)(2x-1)","(2x+1)(2x-3)","(2x+1)(2x+3)","1","Factorizing: 4x² + 6x - 2x - 3 = 2x(2x+3) - 1(2x+3) = (2x-1)(2x+3). [cite: 271, 273]","गुणनखंड: 4x² + 6x - 2x - 3 = 2x(2x+3) - 1(2x+3) = (2x-1)(2x+3).","Maths","1","0.33"
"The cube root of 2197 is -","2197 का घनमूल है -","23","17","19","13","23","17","19","13","3","13 * 13 * 13 = 2197. [cite: 276, 277]","13 * 13 * 13 = 2197.","Maths","1","0.33"
"What is the percentage increase in export from the lowest to the highest for the given years ?","दिये गये वर्षों में न्यूनतम निर्यात से अधिकतम निर्यात में कितने प्रतिशत की वृद्धि हुई है ?","200%","250%","300%","400%","200%","250%","300%","400%","2","Lowest is 200, highest is 800. Increase = (800-200)/200 * 100 = 300%. [cite: 322, 324, 330, 332]","न्यूनतम 200 है, अधिकतम 800 है। वृद्धि = (800-200)/200 * 100 = 300%.","Maths","1","0.33"
"The perimeter of a certain sector of a circle is equal to the length of the arc of a semicircle having the same radius, then the angle of the sector in degree is -","एक वृत्त के निश्चित त्रिज्यखण्ड का परिमाप, समान त्रिज्या के अर्द्धवृत्त के चाप की लम्बाई के बराबर है, तो त्रिज्यखण्ड का कोण डिग्री में है -","65°27'16''","65°45'45''","65°5'11''","65°45'5''","65°27'16''","65°45'45''","65°5'11''","65°45'5''","0","2r + rθ = πr => θ = π - 2 rad = 65°27'16''. [cite: 301, 303, 306]","2r + rθ = πr => θ = π - 2 रेडियन = 65°27'16''.","Maths","1","0.33"
"The three vertices of a parallelogram taken in order are (0, 1), (2, 3) and (4, 3) respectively, then the coordinates of the fourth vertex is -","किसी समान्तर चतुर्भुज के क्रमवार तीन शीर्ष क्रमशः (0, 1), (2, 3) तथा (4, 3) हैं, तब चौथे शीर्ष के निर्देशांक हैं -","(2, 1)","(1, 2)","(-2, 1)","(-2,-1)","(2, 1)","(1, 2)","(-2, 1)","(-2,-1)","0","Midpoint of diagonals are equal: (0+4)/2 = (2+x)/2 => x=2, and (1+3)/2 = (3+y)/2 => y=1. [cite: 310, 311, 312]","विकर्णों के मध्य बिंदु समान होते हैं: (0+4)/2 = (2+x)/2 => x=2, और (1+3)/2 = (3+y)/2 => y=1.","Maths","1","0.33"
"What would be the printed price of a wall-clock purchased at 380, so that after giving 5% discount, there is 25% profit ?","एक दीवार घड़ी का अंकित मूल्य क्या होगा यदि उसका क्रय मूल्य ₹ 380 है एवं 5% छूट देने के बाद 25% लाभ हो ?","₹400","₹450","₹500","₹600","₹400","₹450","₹500","₹600","2","SP = 380 * 1.25 = 475. MP * 0.95 = 475 => MP = 500. [cite: 316, 317, 318, 319, 323, 325]","विक्रय मूल्य = 380 * 1.25 = 475. अंकित मूल्य * 0.95 = 475 => अंकित मूल्य = 500.","Maths","1","0.33"
"If birth rate and death rate of a city is 10% each, what will be the approximate population of the city after 2 years, if current population is 3000 ?","यदि एक शहर की जन्म दर तथा मृत्यु दर प्रत्येक 10% है। 2 वर्ष के बाद शहर की लगभग जनसंख्या क्या होगी यदि वर्तमान जनसंख्या 3000 है ?","2940","3060","3630","3000","2940","3060","3630","3000","3","Net growth rate is 0%, hence population remains unchanged at 3000. [cite: 329, 331, 333, 335, 337, 339, 341]","शुद्ध वृद्धि दर 0% है, इसलिए जनसंख्या 3000 पर अपरिवर्तित रहती है।","Maths","1","0.33"
"Area of piece of a canvas is 1105 m². A conical tent is to be made by canvas with base area 616 m². Assuming that all the stiching margins and the wastage incurred while cutting, amounts to approximately 5 m² then the height of the tent is -","एक केनवास के टुकड़े का क्षेत्रफल 1105 मी² है। इस केनवास से शंकु के आकार का तंबू बनाना है जिसके आधार का क्षेत्रफल 616 मी² है। यह मानते हुये कि सिलाई और कटाई में लगभग 5 मी² केनवास नष्ट हुआ होगा। तंबू की ऊँचाई है -","20.71 m","24 m","18.20 m","21 m","20.71 मी","24 मी","18.20 मी","21 मी","0","Used area = 1100. πr²=616 => r=14. πrl=1100 => l=25. h=√(25²-14²) = √429 = 20.71m. [cite: 351, 352, 353, 356, 357, 358]","प्रयुक्त क्षेत्रफल = 1100. πr²=616 => r=14. πrl=1100 => l=25. h=√(25²-14²) = √429 = 20.71m.","Maths","1","0.33"
"If P(t) is a polynomial of degree n>=1 and (t-2) is a factor of P(t), then P(2) is -","यदि P(t), n>=1 घात का बहुपद है तथा (t-2), P(t) का एक गुणनखण्ड है, तब P(2) है -","0","(t-2)","2","Can not be determined","0","(t-2)","2","ज्ञात नहीं किया जा सकता","0","By remainder theorem, if (t-2) is a factor, then P(2) = 0. [cite: 360, 371, 372, 383, 384]","शेषफल प्रमेय द्वारा, यदि (t-2) एक गुणनखंड है, तो P(2) = 0.","Maths","1","0.33"
"The value of (250047)^(1/3) - (13824)^(1/3) is -","(250047)^(1/3) - (13824)^(1/3) का मान है -","23","29","33","39","23","29","33","39","3","Cube root of 250047 is 63. Cube root of 13824 is 24. 63 - 24 = 39. [cite: 389, 393, 394]","250047 का घनमूल 63 है। 13824 का घनमूल 24 है। 63 - 24 = 39.","Maths","1","0.33"
"The area of a circular ring enclosed between two concentric circles is 286 cm². What are the radii of the two circles if their difference is 7 cm?","दो संकेन्द्रिय वृत्तों के मध्य परिबद्ध एक वृत्ताकार वलय का क्षेत्रफल 286 सेमी² है। दोनों वृत्तों की त्रिज्याएँ क्या हैं यदि उनका अंतर 7 सेमी है ?","14 cm, 7 cm","10 cm, 3 cm","12 cm, 5 cm","13 cm, 6 cm","14 सेमी, 7 सेमी","10 सेमी, 3 सेमी","12 सेमी, 5 सेमी","13 सेमी, 6 सेमी","1","π(R²-r²) = 286 => (22/7)*7*(R+r) = 286 => R+r = 13. R-r = 7. Hence R=10, r=3. [cite: 361, 362, 363]","π(R²-r²) = 286 => (22/7)*7*(R+r) = 286 => R+r = 13. R-r = 7. अतः R=10, r=3.","Maths","1","0.33"
"Area of the smallest square that can circumscribe a circle of area 616 cm² is -","उस छोटे से छोटे वर्ग का क्षेत्रफल क्या होगा जो 616 वर्ग सेमी क्षेत्रफल वाले वृत्त को पूर्णतया घेरता है ?","784 cm²","824 cm²","864 cm²","764 cm²","784 सेमी²","824 सेमी²","864 सेमी²","764 सेमी²","0","Circle area = 616 => r=14. Diameter = 28 = Side of square. Area = 28² = 784 cm². [cite: 365, 370, 374]","वृत्त का क्षेत्रफल = 616 => r=14. व्यास = 28 = वर्ग की भुजा। क्षेत्रफल = 28² = 784 सेमी².","Maths","1","0.33"
"Out of 20,000 Narendra gives some amount on loan at simple interest rate 8% per annum and rest amount at simple interest rate 4/3% per annum. At the end of year he earns 800. The amount given at 8% rate will be -","नरेन्द्र ₹20,000 में से कुछ राशि 8% की साधारण वार्षिक ब्याज दर पर और शेष राशि 4/3% की साधारण वार्षिक ब्याज दर पर उधार देता है। वर्ष के अन्त में उसे ₹ 800 की आय अर्जित होती है। 8% ब्याज दर पर उधार दी गयी राशि होगी -","8,000","6,000","10,000","12,000","8,000","6,000","10,000","12,000","0","0.08x + (4/300)(20000-x) = 800 => 24x + 80000 - 4x = 240000 => 20x = 160000 => x = 8000. [cite: 397, 401, 402, 405]","0.08x + (4/300)(20000-x) = 800 => 24x + 80000 - 4x = 240000 => 20x = 160000 => x = 8000.","Maths","1","0.33"
"Tonu invested 10% more than the investment of Monu and Sonu invested 10% less than the investment of Monu. If the total investment of all the three persons is 60,000, the investment of Monu is -","टोनू, मोनू से 10% ज्यादा निवेश करता है तथा सोनू, मोनू से 10% कम निवेश करता है। यदि तीनों व्यक्तियों का कुल निवेश ₹ 60,000 है, मोनू का निवेश है -","10,000","20,000","30,000","40,000","10,000","20,000","30,000","40,000","1","Let Monu = 100x. Tonu=110x, Sonu=90x. Total = 300x = 60000 => x = 200. Monu = 20000. [cite: 422, 424, 425, 426]","माना मोनू = 100x. टोनू=110x, सोनू=90x. कुल = 300x = 60000 => x = 200. मोनू = 20000.","Maths","1","0.33"
"How many cubes of 25 cm edge can be put in a cubical box of 1 m edge?","1 मी किनारे वाले घनाकार डिब्बे में, 25 सेमी किनारे वाले कितने घन रखे जा सकते हैं?","4","16","32","64","4","16","32","64","3","Volume of box = 100x100x100 cm³. Volume of one cube = 25x25x25 cm³. Number of cubes = (100/25)³ = 4³ = 64.","डिब्बे का आयतन = 100x100x100 सेमी³। एक घन का आयतन = 25x25x25 सेमी³। घनों की संख्या = (100/25)³ = 4³ = 64.","Maths","1","0.33"
"If point A (x, y) is equidistant from the point B (3, 4) and C (-2, 0) then-","यदि बिन्दु A (x, y), बिन्दु B (3,4) तथा C (-2, 0) से समान दूरी पर है तब-","4x-8y=16","4x-13=y","10x+8y=21","10x+8y=16","4x-8y=16","4x-13=y","10x+8y=21","10x+8y=16","2","Distance AB² = Distance AC² => (x-3)²+(y-4)² = (x+2)²+(y-0)² => x²-6x+9+y²-8y+16 = x²+4x+4+y² => -10x-8y+21 = 0 => 10x+8y=21.","दूरी AB² = दूरी AC² => (x-3)²+(y-4)² = (x+2)²+(y-0)² => x²-6x+9+y²-8y+16 = x²+4x+4+y² => -10x-8y+21 = 0 => 10x+8y=21.","Maths","1","0.33"
"The value of (423801)^(1/2) + (22801)^(1/2) is -","(423801)^(1/2) + (22801)^(1/2) का मान है -","902","912","802","812","902","912","802","812","2","Square root of 423801 is 651. Square root of 22801 is 151. Sum = 651 + 151 = 802.","423801 का वर्गमूल 651 है। 22801 का वर्गमूल 151 है। योग = 651 + 151 = 802.","Maths","1","0.33"
"If A, B, C are the angles of a triangle, then the value of (tan(B+C)+tan(C+A)+tan(A+B)) / (tan(π-A)+tan(π-B)+tan(π-C)) is equal to -","यदि A, B, C किसी त्रिभुज के कोण हैं, तब (tan(B+C)+tan(C+A)+tan(A+B)) / (tan(π-A)+tan(π-B)+tan(π-C)) का मान बराबर है-","0","1","π/2","tan(A+B+C)","0","1","π/2","tan(A+B+C)","1","In a triangle, A+B+C=π. So tan(B+C) = tan(π-A) = -tan(A). The numerator becomes -(tanA+tanB+tanC). Denominator is also -(tanA+tanB+tanC). Ratio is 1.","एक त्रिभुज में, A+B+C=π. अतः tan(B+C) = tan(π-A) = -tan(A). अंश -(tanA+tanB+tanC) बन जाता है। हर भी -(tanA+tanB+tanC) है। अनुपात 1 है।","Maths","1","0.33"
"In the adjoining figure, angle ADE = angle B, AE = 8 cm, EB = 7 cm, BC = 9 cm, AD = 10 cm and DC = 2 cm, then the length DE is -","संलग्न चित्र में कोण ADE = कोण B, AE = 8 सेमी, EB = 7 सेमी, BC = 9 सेमी, AD = 10 सेमी तथा DC = 2 सेमी, तब DE की लम्बाई है -","2.1 cm","6 cm","6.75 cm","7.8 cm","2.1 सेमी","6 सेमी","6.75 सेमी","7.8 सेमी","1","Triangle ADE is similar to Triangle ABC. Ratio: AD/AB = DE/BC => 10/15 = DE/9 => DE = 6 cm.","त्रिभुज ADE और त्रिभुज ABC समरूप हैं। अनुपात: AD/AB = DE/BC => 10/15 = DE/9 => DE = 6 सेमी.","Maths","1","0.33"
"Two parallel lines AB and CD are intersected by a transversal EF at M and N respectively. The lines MP and NP are the bisectors of interior angles BMN and DNM on the same side of the transversal. Then angle MPN is equal to:","एक तिर्यक रेखा EF, दो समान्तर रेखाओं AB तथा CD को क्रमशः M तथा N पर काटती है। रेखाएँ MP तथा NP, तिर्यक रेखा के एक ही ओर स्थित आन्तरिक कोणों BMN तथा DNM के अर्धक हैं। तो कोण MPN का मान है -","45°","60°","90°","120°","45°","60°","90°","120°","2","Interior angles on the same side add up to 180°. Their bisectors form a triangle where the sum of two angles is 90°. The third angle MPN = 180° - 90° = 90°.","एक ही ओर के आंतरिक कोणों का योग 180° होता है। उनके अर्धक एक त्रिभुज बनाते हैं जहां दो कोणों का योग 90° होता है। तीसरा कोण MPN = 180° - 90° = 90°.","Maths","1","0.33"
"A passenger train takes 2 hours less for a journey of 300 km if its speed is increased by 5 km/hr from its usual speed. The usual speed of train is -","300 किमी दूरी तय करने में एक यात्री रेलगाड़ी 2 घंटे कम समय लेती है यदि उसकी गति सामान्य गति से 5 किमी/घं. बढ़ा दी जाये। रेलगाड़ी की सामान्य गति है -","25 km/hr","30 km/hr","15 km/hr","20 km/hr","25 किमी/घं.","30 किमी/घं.","15 किमी/घं.","20 किमी/घं.","0","300/v - 300/(v+5) = 2. Solving this gives v² + 5v - 750 = 0. So v = 25 km/hr.","300/v - 300/(v+5) = 2. इसे हल करने पर v² + 5v - 750 = 0 प्राप्त होता है। अतः v = 25 किमी/घं.","Maths","1","0.33"
"Which of the following is an equation ?","निम्न में से कौन एक समीकरण है ?","x=0","x+2>=0","9-5=4","(x+y)²=x²+2xy+y²","x=0","x+2>=0","9-5=4","(x+y)²=x²+2xy+y²","0","An equation represents equality containing variables. x=0 is an equation.","एक समीकरण चर (variables) वाली समानता को दर्शाता है। x=0 एक समीकरण है।","Maths","1","0.33"
"The average salary of a group of unskilled workers is 10,000 and that of a group of skilled workers is 15,000. If the combined average salary is 12,000, then the percentage of skilled workers is -","अकुशल श्रमिकों के एक समूह का औसत वेतन ₹ 10,000 है तथा कुशल श्रमिकों के समूह का वेतन ₹ 15,000 है। यदि उन समूहों का संयुक्त औसत वेतन ₹ 12,000 हो, तो कुशल श्रमिकों का प्रतिशत है -","30%","40%","50%","60%","30%","40%","50%","60%","1","By the rule of alligation, ratio of unskilled to skilled = (15000-12000) : (12000-10000) = 3:2. Percentage of skilled = 2/5 * 100 = 40%.","मिश्रण (Alligation) के नियम से, अकुशल और कुशल का अनुपात = (15000-12000) : (12000-10000) = 3:2. कुशल का प्रतिशत = 2/5 * 100 = 40%.","Maths","1","0.33"
"If log10 2 = 0.3010, the value of log5 1024 is -","यदि log10 2 = 0.3010 तब log5 1024 का मान है -","4.306","3.010","6.931","1.386","4.306","3.010","6.931","1.386","0","log5(1024) = 10 * log5(2) = 10 * (log10(2) / log10(5)) = 10 * (0.3010 / (1-0.3010)) = 3.01 / 0.699 = 4.306.","log5(1024) = 10 * log5(2) = 10 * (log10(2) / log10(5)) = 10 * (0.3010 / (1-0.3010)) = 3.01 / 0.699 = 4.306.","Maths","1","0.33"
"A right angle triangle has height 12 cm and base 4 cm. The area of triangle is:","एक समकोण त्रिभुज की ऊँचाई 12 सेमी तथा आधार 4 सेमी है । त्रिभुज का क्षेत्रफल है :","12 sq. cm","48 sq. cm","24 sq. cm","32 sq. cm","12 वर्ग सेमी","48 वर्ग सेमी","24 वर्ग सेमी","32 वर्ग सेमी","2","Area = 1/2 * base * height = 1/2 * 4 * 12 = 24 sq. cm.","क्षेत्रफल = 1/2 * आधार * ऊँचाई = 1/2 * 4 * 12 = 24 वर्ग सेमी।","Maths","1","0.33"
"In which ratio the point (-3, p) divides the line segment joining the points (-5, -4) and (-2, 3) ?","बिंदु (-3, p) किस अनुपात में बिंदुओं (-5, -4) तथा (-2, 3) को मिलाने वाले रेखाखण्ड को विभाजित करता है ?","2:3","3:2","2:1","1:2","2:3","3:2","2:1","1:2","2","Using section formula for x-coordinate: -3 = (-2m - 5n) / (m + n) => -3m - 3n = -2m - 5n => m/n = 2/1.","x-निर्देशांक के लिए विभाजन सूत्र का उपयोग: -3 = (-2m - 5n) / (m + n) => -3m - 3n = -2m - 5n => m/n = 2/1.","Maths","1","0.33"
"100g is what percent of 1 kg?","100 ग्राम, 1 किग्रा का कितना प्रतिशत है ?","1%","10%","100%","1000%","1%","10%","100%","1000%","1","1 kg = 1000g. Percentage = (100 / 1000) * 100% = 10%.","1 किग्रा = 1000 ग्राम. प्रतिशत = (100 / 1000) * 100% = 10%.","Maths","1","0.33"
"Two numbers are in the ratio 6: 7. If 4 is added to each of the numbers, the ratio becomes 13:15, then the smaller number is-","दो संख्याओं का अनुपात 6:7 है। यदि प्रत्येक संख्या में 4 जोड़ा जाता है तो अनुपात 13:15 हो जाता है, तब छोटी संख्या है -","36","48","56","60","36","48","56","60","1","Let numbers be 6x and 7x. (6x+4)/(7x+4) = 13/15 => 90x+60 = 91x+52 => x=8. Smaller number = 6*8 = 48.","माना संख्याएं 6x और 7x हैं। (6x+4)/(7x+4) = 13/15 => 90x+60 = 91x+52 => x=8. छोटी संख्या = 6*8 = 48.","Maths","1","0.33"
"The angle which is four times its complement is -","वह कोण, जो अपने पूरक कोण का चार गुना है -","60°","68°","72°","75°","60°","68°","72°","75°","2","Let angle be x. x = 4(90 - x) => 5x = 360 => x = 72°.","माना कोण x है। x = 4(90 - x) => 5x = 360 => x = 72°.","Maths","1","0.33"
"A shopkeeper offers his customers 10% discount and still makes a profit of 26%. What is the actual cost price to the shopkeeper of an article marked 280?","एक दुकानदार अपने ग्राहकों को 10% छूट का प्रस्ताव देता है फिर भी 26% लाभ अर्जित करता है। ₹ 280 अंकित मूल्य की वस्तु का दुकानदार के लिए वास्तविक क्रय मूल्य क्या है ?","186.48","200","207.2","252","186.48","200","207.2","252","1","SP = 280 * 0.90 = 252. CP = SP / 1.26 = 252 / 1.26 = 200.","विक्रय मूल्य (SP) = 280 * 0.90 = 252. क्रय मूल्य (CP) = SP / 1.26 = 252 / 1.26 = 200.","Maths","1","0.33"
